timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,command
2026-02-01 17:50:29.235247,44,36,0,505421,146678,26520,28126,25606,9957,5604,110577,f
2026-02-01 17:50:30.224180,36,36,0,621977,141000,22937,22160,24570,11512,8046,133257,f
2026-02-01 17:50:31.217916,32,46,0,340032,178407,25223,23678,36800,12183,7085,134395,f
2026-02-01 17:50:32.220635,30,52,0,238069,108951,27557,16991,25133,10604,4627,133412,f
2026-02-01 17:50:33.207812,31,62,0,307885,111191,39097,27424,36307,14596,4134,151232,f
2026-02-01 17:50:34.199080,36,66,0,304494,50614,30555,26279,24297,14180,5455,135184,f
2026-02-01 17:50:35.192872,44,76,0,476539,101784,29810,21494,28236,12637,5902,95293,f
2026-02-01 17:51:18.896298,38,48,0,122353,43075,26639,23976,24115,8449,2726,100265,f
2026-02-01 17:51:19.908805,59,71,0,173563,58379,38303,21608,34836,10420,4633,122929,f
2026-02-01 17:51:20.906155,67,68,0,368071,55711,40199,16643,32057,12624,4974,149403,f
2026-02-01 17:51:21.899935,59,76,0,547429,62540,24776,13268,25820,9300,4795,122876,f
2026-02-01 17:51:22.893706,54,80,0,455869,51542,14088,13849,18742,9623,5077,123576,f
2026-02-01 17:51:23.865689,53,76,0,271479,87790,29560,31386,31365,9140,5549,107981,f
2026-02-01 17:51:24.877579,54,74,0,155546,93157,41993,26528,29366,13165,5465,115515,f
2026-02-01 17:51:25.848896,53,73,0,156475,97109,50734,39938,33773,16254,4307,102945,f
2026-02-01 17:51:26.865123,51,78,0,164801,61837,35654,38597,26374,19043,5197,101784,f
2026-02-01 17:51:27.858903,51,85,0,270851,39674,18231,36818,17984,15346,5359,112691,f
2026-02-01 17:51:54.679115,33,48,0,574202,76667,15472,21118,16644,12476,2376,126748,f
2026-02-01 17:51:55.673034,50,72,0,94631,67246,22564,24835,14570,12145,5676,105302,f
2026-02-01 17:51:56.665522,53,75,0,104354,62940,24247,24886,15268,10535,5667,83561,f
2026-02-01 17:51:57.658903,49,80,0,113319,26183,17450,21588,17215,6654,6689,73709,f
2026-02-01 17:51:58.651777,48,89,0,189151,86259,35842,21731,23545,7712,5423,67422,f
2026-02-01 17:51:59.621015,42,90,0,287727,153340,36576,26811,25555,10067,5873,95419,f
2026-02-01 17:52:00.615705,36,86,0,219709,151743,36115,18303,16011,8454,4389,93244,f
2026-02-01 17:52:01.610622,34,81,0,199729,122382,10624,19729,15231,12334,5279,99677,f
2026-02-01 17:52:02.624526,36,73,0,89421,48313,24128,24568,13668,10444,7746,95174,f
2026-02-01 17:52:03.619008,41,77,0,251996,65445,26384,26625,17560,10609,8248,92780,f
2026-02-01 17:52:52.274117,18,41,0,484782,150254,15272,24474,30949,11238,5961,140502,f
2026-02-01 17:52:53.266639,26,58,0,437965,105335,16963,23246,33823,10217,6627,123924,f
2026-02-01 17:52:54.256955,30,54,0,786951,87485,38733,27511,34847,15647,6743,116646,f
2026-02-01 17:52:55.245356,38,59,0,660751,80827,38372,27159,15907,13916,5324,131081,f
2026-02-01 17:52:56.244091,45,67,0,781967,121969,37857,40905,25648,17616,6315,121442,f
2026-02-01 17:52:57.257022,48,72,0,470866,76664,12780,37094,29642,13929,5575,120659,f
2026-02-01 17:52:58.227565,49,74,0,333233,73597,10922,37752,35019,18692,5106,99861,f
2026-02-01 17:52:59.219181,54,70,0,441707,71209,18213,20706,23334,17947,3342,107628,f
2026-02-01 17:53:00.210587,61,64,0,349596,72770,21659,16112,13780,18715,2759,101420,f
2026-02-01 17:53:01.207724,71,62,0,438774,76156,25479,14872,11280,16489,4229,109029,f
2026-02-01 17:53:35.988224,23,45,0,282050,48013,20304,12620,24124,14033,2024,115000,f
2026-02-01 17:53:36.988978,48,63,0,972544,173427,20536,15744,32412,18751,2978,88333,f
2026-02-01 17:53:37.979907,59,50,0,880249,157202,16836,23063,40880,19703,3649,129291,f
2026-02-01 17:53:38.974920,60,49,0,1028921,200975,22099,68030,39139,13610,4644,120362,f
2026-02-01 17:53:39.945547,55,51,0,206299,64893,15023,59131,31076,8922,4448,120219,f
2026-02-01 17:53:40.937424,52,56,0,836856,161950,41329,59901,41712,12564,5337,99087,f
2026-02-01 17:53:41.953714,50,62,0,665749,121553,39511,17849,29668,9701,4693,103696,f
2026-02-01 17:53:42.927179,44,65,0,738510,155869,50139,27112,51680,13598,6115,108396,f
2026-02-01 17:53:43.918640,45,66,0,308822,89919,27253,26105,33173,10382,5443,110824,f
2026-02-01 17:53:44.909938,43,65,0,326261,91619,18332,30698,44931,12165,6068,106867,f
2026-02-01 17:56:32.776684,19,40,0,452572,217810,21662,35811,28450,13701,3484,136136,f
2026-02-01 17:56:33.794126,41,66,0,231717,88571,18844,33515,31090,14379,4370,107660,f
2026-02-01 17:56:34.781800,64,79,0,258361,35841,12347,27778,24366,13617,3950,69844,f
2026-02-01 17:56:35.760951,73,77,0,102398,26490,10477,16228,13503,8789,3237,53626,f
2026-02-01 17:56:36.776249,77,77,0,121434,29837,6716,15934,10323,6682,2036,36052,f
2026-02-01 17:56:37.741874,73,73,0,198391,46882,5613,5955,6426,3201,1584,16331,f
2026-02-01 17:56:38.761774,65,67,0,172295,45945,17639,6032,8231,4674,3108,33127,f
2026-02-01 17:56:39.729286,56,62,0,203836,141978,21246,28061,11830,10578,5103,51129,f
2026-02-01 17:56:40.729095,47,59,0,88006,114786,24543,26957,10632,10261,7224,72681,f
2026-02-01 17:56:41.720980,43,64,0,438393,130100,26556,30831,14726,11202,6914,70113,f
2026-02-01 17:57:49.261672,21,35,0,214682,39947,23343,12825,7194,5808,1554,54848,f
2026-02-01 17:57:50.251859,41,57,0,54700,29925,16770,12598,8219,6506,3313,77933,f
2026-02-01 17:57:51.254287,57,65,0,234930,40324,28219,6947,18919,7709,6071,65254,f
2026-02-01 17:57:52.248953,59,71,0,578218,83770,31299,11466,33142,12947,7627,102893,f
2026-02-01 17:57:53.234335,58,70,0,575649,89106,30876,13448,35534,12589,7217,98272,f
2026-02-01 17:57:54.230517,54,66,0,395526,84091,12522,20294,40016,12094,5650,113102,f
2026-02-01 17:57:55.221880,54,59,0,207647,88275,15288,20875,28317,9761,6196,109638,f
2026-02-01 17:57:56.223289,52,55,0,222472,69911,12286,19520,22948,8984,5212,86239,f
2026-02-01 17:57:57.231922,51,58,0,283981,100370,18640,16969,18087,8744,5996,82725,f
2026-02-01 17:57:58.223189,50,60,0,121072,55879,18086,15461,15543,8898,4586,71146,f
2026-02-01 17:58:16.079709,21,41,0,419829,39367,14623,26512,18744,7416,7420,129146,f
2026-02-01 17:58:17.095972,38,59,0,433828,58743,16629,26023,20051,9147,8076,118560,f
2026-02-01 17:58:18.068473,50,58,0,565270,77404,21491,26148,22579,11862,9719,111971,f
2026-02-01 17:58:19.061175,54,64,0,540707,59509,16707,18120,17239,8947,5110,85195,f
2026-02-01 17:58:20.050997,54,70,0,382521,38491,14686,11154,9341,6713,4256,93489,f
2026-02-01 17:58:21.049818,54,72,0,610355,29221,36866,22473,16068,8127,3613,97608,f
2026-02-01 17:58:22.065706,52,77,0,499530,24106,34793,18292,15775,7781,3418,87399,f
2026-02-01 17:58:23.040899,52,81,0,562070,63566,36981,24558,15680,8224,4049,90924,f
2026-02-01 17:58:24.034781,50,82,0,373301,95680,24886,28136,23240,8918,3357,90721,f
2026-02-01 17:58:25.020047,45,78,0,442756,98438,27032,28897,24687,12776,4513,140482,f
