timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
00:13:08,83,66,26,1343115,1127330,11631,439552,17368,275657,7845,1323635,0,F,0.2060999977402389,0.10170001769438386
00:13:09,83,66,26,1162069,1100457,4666,741044,19277,433431,5988,1563257,0,F,0.16410002717748284,0.10040000779554248
00:13:10,83,66,26,296141,335200,8755,215114,4728,95216,1224,363354,0,F,2.522900002077222,0.09430001955479383
00:13:11,83,66,26,533975,349443,3632,127652,2169,74679,1803,288618,0,F,0.15409995103254914,0.09679998038336635
00:13:12,83,66,26,154626,249855,2162,100823,1300,83203,1350,273146,0,F,0.24530000519007444,0.1259999698959291
00:13:13,83,66,26,34634,278664,2047,121827,1326,71389,1581,258570,0,F,0.16120000509545207,0.10529998689889908
00:13:14,84,64,0,2223200,713382,171546,262957,17725,218559,10885,972281,0,F,0.15679997159168124,0.09849999332800508
00:13:15,84,64,26,742241,49026,32940,59238,6442,21798,1692,84089,0,F,0.15109998639672995,0.09440002031624317
00:13:16,84,57,0,1071095,1819971,436795,87665,27350,294195,40983,1809463,1,F,0.16579998191446066,0.10820000898092985
00:13:17,84,57,26,684190,147894,13111,162006,298008,151734,124078,257211,0,F,0.15999999595806003,0.10329997166991234
00:13:18,84,57,26,650350,100713,65212,99959,97195,173134,134643,144381,0,F,0.15209999401122332,0.09619997581467032
00:13:19,84,57,26,609030,334858,12899,204138,36749,43688,35963,401037,0,F,0.15110004460439086,0.09470002260059118
00:13:20,84,57,26,255767,448005,4608,120002,5101,114398,2379,411609,3,F,0.15590002294629812,0.10030000703409314
00:13:21,84,57,26,734715,1150181,56787,457629,80989,118781,40418,907086,0,F,0.1669999910518527,0.10350003140047193
00:13:22,84,57,26,904811,1274410,50943,316226,107084,137355,167995,873613,0,F,0.14919997192919254,0.09319995297119021
00:13:23,84,57,25,751602,10089,17517,19659,10827,11281,3534,3542,0,F,0.14979997649788857,0.09390001650899649
00:13:24,84,57,51,1611416,456833,325804,214728,181098,172531,73447,678467,3,F,0.15089998487383127,0.09469996439293027
00:13:25,84,57,51,415272,562133,359986,327738,202346,154555,75268,767305,0,F,0.14830002328380942,0.09240000508725643
00:13:26,84,57,51,791903,590946,15102,387362,117414,432079,394542,1087760,0,F,0.15750003512948751,0.09430001955479383
00:13:27,84,57,51,250440,680888,299620,439387,100400,281345,196138,528195,0,F,2.3792999563738704,0.0999000039882958
00:13:28,84,57,51,387906,866526,206028,193919,70284,426975,30825,167630,0,F,0.1897999900393188,0.12640003114938736
00:13:29,84,57,51,318815,283219,140705,87509,79376,155608,38159,98332,0,F,2.4458999978378415,0.10340003063902259
00:13:30,84,57,25,517600,139675,109586,83742,35253,151198,44612,402722,0,F,0.15789997996762395,0.10179996024817228
00:13:31,84,57,26,290949,465933,16244,163380,29916,103813,22598,455559,0,F,0.1534000039100647,0.09629997657611966
00:13:32,84,57,26,185789,372096,28668,251496,100942,28720,139595,147695,0,F,2.12610000744462,0.0906999921426177
00:13:33,84,57,26,502857,536312,24318,37451,68003,93779,36761,230780,0,F,0.1509999856352806,0.0950000248849392
00:13:34,84,57,26,246273,198450,14734,23131,13875,36524,11542,112521,0,F,0.1545000122860074,0.09649997809901834
00:13:35,84,57,51,667575,116754,38035,27558,14294,6732,2276,11854,0,F,2.6150000048801303,0.09380001574754715
00:13:36,84,57,25,444477,621200,145102,162924,41711,71696,16690,739714,2,F,0.15380000695586205,0.09739998495206237
00:13:37,84,57,26,209584,106628,16838,34156,22763,49259,3481,178718,0,F,0.16769999638199806,0.11199997970834374
00:13:38,84,57,26,498262,483357,248738,440909,91714,144895,239386,496511,0,F,6.0329000116325915,0.11190003715455532
